respondent_id,date,nps_score,reason,department,role_level
R_0000,2024-06-29,9,Easy to use and intuitive.,Sales,Senior
R_0001,2024-10-29,10,Very fast and reliable.,Finance,Senior
R_0002,2024-03-18,8,Satisfactory overall.,HR,Manager
R_0003,2024-03-04,9,Great support team.,Marketing,Lead
R_0004,2024-12-14,9,Great support team.,Engineering,Director
R_0005,2024-09-06,10,Great support team.,Product,Director
R_0006,2024-10-30,10,Love the new features!,Product,Junior
R_0007,2024-04-12,10,Very fast and reliable.,Product,Mid
R_0008,2024-02-13,7,Satisfactory overall.,Marketing,Mid
R_0009,2024-07-01,7,Satisfactory overall.,Finance,Junior
R_0010,2024-12-26,10,Great support team.,Sales,Senior
R_0011,2024-07-01,9,Easy to use and intuitive.,Finance,Lead
R_0012,2024-01-03,10,Very fast and reliable.,Marketing,Junior
R_0013,2024-01-22,9,Easy to use and intuitive.,Engineering,Manager
R_0014,2024-08-26,9,Very fast and reliable.,Marketing,Lead
R_0015,2024-01-11,10,Love the new features!,Finance,Manager
R_0016,2024-08-11,10,Love the new features!,Marketing,Junior
R_0017,2024-10-25,7,"Good, but could be faster.",Product,Mid
R_0018,2024-12-10,10,Very fast and reliable.,HR,Director
R_0019,2024-08-29,2,Too many bugs.,Sales,Senior
R_0020,2024-06-30,10,Easy to use and intuitive.,Marketing,Mid
R_0021,2024-10-03,10,Great support team.,Marketing,Senior
R_0022,2024-10-01,9,Great support team.,Engineering,Director
R_0023,2024-03-14,10,Very fast and reliable.,HR,Lead
R_0024,2024-02-28,8,Satisfactory overall.,Marketing,Senior
R_0025,2024-02-07,7,"It's okay, does the job.",Finance,Mid
R_0026,2024-10-26,0,Too expensive for what it is.,Engineering,Lead
R_0027,2024-09-02,7,Satisfactory overall.,Engineering,Mid
R_0028,2024-06-20,7,"It's okay, does the job.",Sales,Manager
R_0029,2024-09-08,8,"Good, but could be faster.",Finance,Manager
R_0030,2024-08-12,10,Great support team.,Sales,Director
R_0031,2024-02-23,10,Great support team.,Engineering,Junior
R_0032,2024-06-21,10,Easy to use and intuitive.,Sales,Junior
R_0033,2024-04-07,9,Easy to use and intuitive.,HR,Manager
R_0034,2024-04-19,7,"It's okay, does the job.",Marketing,Manager
R_0035,2024-01-01,3,Support is very slow.,Finance,Senior
R_0036,2024-08-18,4,Crashes frequently.,Engineering,Manager
R_0037,2024-04-27,10,Very fast and reliable.,Engineering,Lead
R_0038,2024-10-03,10,Love the new features!,Finance,Manager
R_0039,2024-02-24,1,Support is very slow.,Engineering,Director
R_0040,2024-08-15,10,Great support team.,Marketing,Junior
R_0041,2024-02-15,9,Great support team.,Marketing,Mid
R_0042,2024-01-19,10,Easy to use and intuitive.,HR,Manager
R_0043,2024-01-01,0,Too many bugs.,Finance,Junior
R_0044,2024-02-01,10,Great support team.,Product,Director
R_0045,2024-03-08,10,Very fast and reliable.,Marketing,Senior
R_0046,2024-12-13,5,Too many bugs.,Engineering,Director
R_0047,2024-10-22,9,Great support team.,Marketing,Junior
R_0048,2024-07-03,10,Easy to use and intuitive.,Engineering,Mid
R_0049,2024-04-03,9,Very fast and reliable.,Finance,Senior
R_0050,2024-10-25,9,Love the new features!,Product,Junior
R_0051,2024-03-13,10,Very fast and reliable.,Product,Lead
R_0052,2024-08-16,10,Easy to use and intuitive.,Finance,Manager
R_0053,2024-09-10,7,Satisfactory overall.,Finance,Director
R_0054,2024-05-13,9,Easy to use and intuitive.,Finance,Senior
R_0055,2024-11-04,7,"It's okay, does the job.",Marketing,Manager
R_0056,2024-03-06,5,Too many bugs.,HR,Senior
R_0057,2024-07-27,9,Love the new features!,Marketing,Manager
R_0058,2024-08-20,8,"Good, but could be faster.",Engineering,Junior
R_0059,2024-07-17,10,Love the new features!,Engineering,Mid
R_0060,2024-05-30,8,"It's okay, does the job.",Marketing,Junior
R_0061,2024-01-20,10,Love the new features!,Engineering,Junior
R_0062,2024-11-12,6,Crashes frequently.,Finance,Lead
R_0063,2024-08-13,2,Crashes frequently.,HR,Lead
R_0064,2024-05-25,7,Missing some features.,Engineering,Lead
R_0065,2024-08-16,10,Love the new features!,Finance,Manager
R_0066,2024-03-12,10,Easy to use and intuitive.,Marketing,Senior
R_0067,2024-07-01,9,Easy to use and intuitive.,Finance,Junior
R_0068,2024-01-02,10,Great support team.,Product,Manager
R_0069,2024-06-04,9,Love the new features!,Sales,Manager
R_0070,2024-04-29,10,Love the new features!,HR,Lead
R_0071,2024-08-23,7,"It's okay, does the job.",Marketing,Manager
R_0072,2024-06-29,8,Missing some features.,Engineering,Mid
R_0073,2024-08-27,9,Love the new features!,Engineering,Mid
R_0074,2024-12-07,10,Very fast and reliable.,Finance,Junior
R_0075,2024-09-24,9,Very fast and reliable.,Engineering,Mid
R_0076,2024-03-14,9,Love the new features!,Marketing,Lead
R_0077,2024-06-11,10,Very fast and reliable.,Finance,Mid
R_0078,2024-05-06,9,Great support team.,HR,Lead
R_0079,2024-11-01,9,Very fast and reliable.,Engineering,Lead
R_0080,2024-01-17,9,Love the new features!,Product,Manager
R_0081,2024-02-25,10,Great support team.,Sales,Lead
R_0082,2024-10-26,9,Very fast and reliable.,HR,Director
R_0083,2024-04-14,10,Very fast and reliable.,Engineering,Director
R_0084,2024-03-05,10,Easy to use and intuitive.,Marketing,Director
R_0085,2024-03-21,9,Great support team.,HR,Director
R_0086,2024-07-16,9,Great support team.,Finance,Manager
R_0087,2024-09-30,8,"It's okay, does the job.",Finance,Manager
R_0088,2024-07-25,10,Love the new features!,HR,Junior
R_0089,2024-07-21,7,Missing some features.,HR,Director
R_0090,2024-08-10,5,Too many bugs.,Product,Senior
R_0091,2024-03-07,7,Missing some features.,HR,Manager
R_0092,2024-08-20,8,Missing some features.,Sales,Manager
R_0093,2024-10-29,3,Too many bugs.,Sales,Junior
R_0094,2024-12-04,9,Love the new features!,Product,Lead
R_0095,2024-06-14,9,Love the new features!,Finance,Senior
R_0096,2024-05-23,10,Very fast and reliable.,Product,Mid
R_0097,2024-07-21,10,Very fast and reliable.,Product,Director
R_0098,2024-06-02,0,Too many bugs.,Engineering,Junior
R_0099,2024-05-17,9,Very fast and reliable.,Finance,Senior
R_0100,2024-05-10,9,Easy to use and intuitive.,HR,Director
R_0101,2024-09-06,10,Love the new features!,Engineering,Junior
R_0102,2024-11-18,10,Great support team.,Engineering,Lead
R_0103,2024-04-05,7,"Good, but could be faster.",Marketing,Manager
R_0104,2024-09-28,10,Very fast and reliable.,Sales,Lead
R_0105,2024-12-24,7,Missing some features.,HR,Manager
R_0106,2024-11-01,8,Missing some features.,HR,Manager
R_0107,2024-05-10,9,Love the new features!,Marketing,Director
R_0108,2024-04-07,3,Crashes frequently.,Marketing,Director
R_0109,2024-09-01,10,Easy to use and intuitive.,Product,Manager
R_0110,2024-10-11,10,Very fast and reliable.,Product,Director
R_0111,2024-02-26,10,Great support team.,Marketing,Manager
R_0112,2024-12-01,8,"Good, but could be faster.",Engineering,Lead
R_0113,2024-12-21,10,Very fast and reliable.,Sales,Lead
R_0114,2024-02-24,6,Too expensive for what it is.,HR,Lead
R_0115,2024-12-11,8,"It's okay, does the job.",Product,Senior
R_0116,2024-12-08,9,Very fast and reliable.,Product,Lead
R_0117,2024-02-16,9,Great support team.,HR,Manager
R_0118,2024-11-05,5,Support is very slow.,Engineering,Junior
R_0119,2024-09-25,10,Easy to use and intuitive.,Finance,Mid
R_0120,2024-02-25,0,Too expensive for what it is.,Sales,Lead
R_0121,2024-02-28,9,Great support team.,Sales,Director
R_0122,2024-03-22,5,Too many bugs.,Finance,Manager
R_0123,2024-10-17,9,Great support team.,HR,Senior
R_0124,2024-04-27,8,Missing some features.,Engineering,Manager
R_0125,2024-08-30,8,Missing some features.,Finance,Mid
R_0126,2024-05-02,10,Easy to use and intuitive.,Sales,Senior
R_0127,2024-02-23,10,Very fast and reliable.,Product,Director
R_0128,2024-11-04,7,Missing some features.,Product,Junior
R_0129,2024-07-27,10,Love the new features!,Product,Director
R_0130,2024-05-18,10,Great support team.,Product,Junior
R_0131,2024-06-11,10,Very fast and reliable.,Engineering,Mid
R_0132,2024-07-29,9,Easy to use and intuitive.,Finance,Mid
R_0133,2024-12-23,10,Very fast and reliable.,Finance,Mid
R_0134,2024-05-20,9,Easy to use and intuitive.,HR,Senior
R_0135,2024-04-08,9,Easy to use and intuitive.,Marketing,Lead
R_0136,2024-01-17,9,Very fast and reliable.,Marketing,Mid
R_0137,2024-04-05,1,Too expensive for what it is.,Product,Director
R_0138,2024-06-10,10,Love the new features!,Sales,Junior
R_0139,2024-07-10,9,Very fast and reliable.,Sales,Senior
R_0140,2024-11-13,9,Love the new features!,Product,Mid
R_0141,2024-10-29,10,Love the new features!,Sales,Mid
R_0142,2024-12-27,7,Satisfactory overall.,Engineering,Junior
R_0143,2024-03-02,9,Love the new features!,Finance,Senior
R_0144,2024-11-29,9,Love the new features!,Finance,Junior
R_0145,2024-04-20,9,Love the new features!,HR,Junior
R_0146,2024-02-15,9,Very fast and reliable.,Product,Director
R_0147,2024-05-04,10,Great support team.,Marketing,Senior
R_0148,2024-09-29,9,Love the new features!,Finance,Lead
R_0149,2024-06-22,9,Easy to use and intuitive.,HR,Manager
R_0150,2024-01-25,7,"Good, but could be faster.",Engineering,Mid
R_0151,2024-06-02,9,Love the new features!,HR,Mid
R_0152,2024-04-07,9,Easy to use and intuitive.,Engineering,Manager
R_0153,2024-07-28,9,Great support team.,Finance,Director
R_0154,2024-06-02,6,Too many bugs.,HR,Junior
R_0155,2024-03-30,9,Great support team.,HR,Senior
R_0156,2024-11-08,8,Missing some features.,HR,Manager
R_0157,2024-09-24,10,Very fast and reliable.,Product,Lead
R_0158,2024-08-16,10,Easy to use and intuitive.,Product,Director
R_0159,2024-03-11,9,Very fast and reliable.,Marketing,Junior
R_0160,2024-10-15,7,"It's okay, does the job.",Engineering,Manager
R_0161,2024-05-15,9,Love the new features!,Finance,Lead
R_0162,2024-11-21,7,"Good, but could be faster.",Sales,Mid
R_0163,2024-12-28,2,Too expensive for what it is.,Sales,Manager
R_0164,2024-08-12,9,Great support team.,Product,Mid
R_0165,2024-12-08,9,Very fast and reliable.,HR,Lead
R_0166,2024-05-30,8,Missing some features.,Marketing,Mid
R_0167,2024-06-24,8,Missing some features.,Engineering,Manager
R_0168,2024-10-29,9,Love the new features!,Product,Director
R_0169,2024-12-26,10,Great support team.,HR,Manager
R_0170,2024-12-30,9,Very fast and reliable.,Product,Senior
R_0171,2024-04-23,10,Love the new features!,Product,Mid
R_0172,2024-01-12,1,Too expensive for what it is.,Engineering,Senior
R_0173,2024-02-28,9,Very fast and reliable.,Marketing,Mid
R_0174,2024-10-05,7,Satisfactory overall.,Product,Director
R_0175,2024-10-22,10,Love the new features!,Engineering,Manager
R_0176,2024-05-12,7,"Good, but could be faster.",Sales,Director
R_0177,2024-11-20,4,Too many bugs.,Engineering,Director
R_0178,2024-08-09,8,"Good, but could be faster.",HR,Manager
R_0179,2024-06-29,9,Easy to use and intuitive.,Sales,Junior
R_0180,2024-01-08,9,Easy to use and intuitive.,Finance,Director
R_0181,2024-11-25,8,"It's okay, does the job.",Sales,Manager
R_0182,2024-09-12,10,Very fast and reliable.,HR,Junior
R_0183,2024-01-16,9,Great support team.,Sales,Manager
R_0184,2024-11-02,9,Love the new features!,HR,Senior
R_0185,2024-11-02,7,"It's okay, does the job.",Product,Director
R_0186,2024-06-08,10,Very fast and reliable.,Product,Director
R_0187,2024-02-15,9,Easy to use and intuitive.,Sales,Manager
R_0188,2024-05-09,9,Very fast and reliable.,Engineering,Manager
R_0189,2024-03-20,9,Easy to use and intuitive.,Sales,Junior
R_0190,2024-06-29,9,Very fast and reliable.,Marketing,Junior
R_0191,2024-05-27,1,Crashes frequently.,Engineering,Director
R_0192,2024-09-02,9,Great support team.,Finance,Junior
R_0193,2024-12-23,9,Love the new features!,Engineering,Senior
R_0194,2024-11-20,3,Too expensive for what it is.,HR,Manager
R_0195,2024-10-10,7,"It's okay, does the job.",Sales,Manager
R_0196,2024-01-13,9,Great support team.,Sales,Junior
R_0197,2024-12-17,10,Very fast and reliable.,Product,Senior
R_0198,2024-09-17,8,"Good, but could be faster.",Sales,Lead
R_0199,2024-04-03,8,Missing some features.,Sales,Mid
R_0200,2024-10-13,9,Love the new features!,HR,Mid
R_0201,2024-07-15,9,Great support team.,Product,Junior
R_0202,2024-04-26,10,Great support team.,Sales,Manager
R_0203,2024-11-11,2,Crashes frequently.,Marketing,Senior
R_0204,2024-05-06,5,Crashes frequently.,Engineering,Junior
R_0205,2024-11-30,9,Great support team.,Product,Junior
R_0206,2024-03-24,10,Easy to use and intuitive.,HR,Director
R_0207,2024-09-29,6,Too many bugs.,Sales,Senior
R_0208,2024-10-03,10,Great support team.,Engineering,Director
R_0209,2024-10-21,7,Satisfactory overall.,Finance,Director
R_0210,2024-08-28,10,Great support team.,Finance,Junior
R_0211,2024-09-14,9,Easy to use and intuitive.,Engineering,Director
R_0212,2024-05-14,9,Love the new features!,Finance,Senior
R_0213,2024-11-19,7,Satisfactory overall.,Finance,Director
R_0214,2024-05-01,7,Satisfactory overall.,Product,Director
R_0215,2024-12-15,10,Love the new features!,Marketing,Director
R_0216,2024-04-24,10,Love the new features!,Sales,Manager
R_0217,2024-03-11,9,Great support team.,Marketing,Director
R_0218,2024-09-23,9,Love the new features!,Finance,Director
R_0219,2024-05-03,10,Great support team.,HR,Manager
R_0220,2024-02-09,10,Easy to use and intuitive.,Engineering,Junior
R_0221,2024-11-28,8,Missing some features.,Sales,Manager
R_0222,2024-04-11,6,Crashes frequently.,HR,Manager
R_0223,2024-01-12,7,Missing some features.,Sales,Manager
R_0224,2024-10-23,8,Satisfactory overall.,Marketing,Manager
R_0225,2024-03-10,9,Easy to use and intuitive.,Finance,Director
R_0226,2024-05-16,8,Satisfactory overall.,Marketing,Mid
R_0227,2024-08-06,9,Very fast and reliable.,Marketing,Junior
R_0228,2024-10-05,1,Too many bugs.,Finance,Senior
R_0229,2024-05-06,5,Crashes frequently.,Sales,Junior
R_0230,2024-05-17,10,Easy to use and intuitive.,Engineering,Director
R_0231,2024-10-22,2,Too many bugs.,HR,Mid
R_0232,2024-12-04,4,Crashes frequently.,HR,Mid
R_0233,2024-01-27,7,Missing some features.,Finance,Manager
R_0234,2024-11-24,2,Crashes frequently.,Product,Lead
R_0235,2024-09-25,10,Easy to use and intuitive.,Finance,Manager
R_0236,2024-10-17,10,Love the new features!,Finance,Mid
R_0237,2024-01-03,10,Love the new features!,Marketing,Junior
R_0238,2024-09-09,7,Missing some features.,Marketing,Mid
R_0239,2024-06-30,10,Love the new features!,Engineering,Lead
R_0240,2024-05-06,9,Very fast and reliable.,HR,Mid
R_0241,2024-08-04,10,Love the new features!,HR,Senior
R_0242,2024-05-22,9,Great support team.,Sales,Director
R_0243,2024-05-08,9,Love the new features!,Product,Junior
R_0244,2024-05-12,3,Support is very slow.,Product,Manager
R_0245,2024-01-21,9,Very fast and reliable.,Engineering,Lead
R_0246,2024-12-16,10,Great support team.,Product,Senior
R_0247,2024-01-13,10,Love the new features!,Sales,Director
R_0248,2024-07-25,5,Too expensive for what it is.,Finance,Senior
R_0249,2024-04-20,10,Easy to use and intuitive.,Marketing,Senior
R_0250,2024-05-21,9,Easy to use and intuitive.,Finance,Manager
R_0251,2024-10-31,9,Very fast and reliable.,Finance,Manager
R_0252,2024-12-01,10,Easy to use and intuitive.,Marketing,Manager
R_0253,2024-11-26,1,Crashes frequently.,Sales,Manager
R_0254,2024-10-18,0,Too expensive for what it is.,Engineering,Director
R_0255,2024-12-08,9,Very fast and reliable.,HR,Mid
R_0256,2024-05-12,10,Very fast and reliable.,HR,Manager
R_0257,2024-08-07,10,Easy to use and intuitive.,HR,Director
R_0258,2024-08-06,10,Very fast and reliable.,Engineering,Director
R_0259,2024-10-29,9,Easy to use and intuitive.,Finance,Junior
R_0260,2024-11-09,10,Love the new features!,Marketing,Mid
R_0261,2024-09-09,8,Missing some features.,Finance,Junior
R_0262,2024-04-29,10,Very fast and reliable.,Sales,Manager
R_0263,2024-10-05,9,Great support team.,Finance,Senior
R_0264,2024-09-18,10,Easy to use and intuitive.,Engineering,Junior
R_0265,2024-11-29,10,Love the new features!,Engineering,Mid
R_0266,2024-08-26,9,Love the new features!,Product,Junior
R_0267,2024-11-09,9,Great support team.,Marketing,Senior
R_0268,2024-07-28,8,"It's okay, does the job.",HR,Junior
R_0269,2024-10-12,7,"It's okay, does the job.",HR,Director
R_0270,2024-01-06,10,Easy to use and intuitive.,Finance,Mid
R_0271,2024-11-06,10,Love the new features!,Engineering,Director
R_0272,2024-09-23,10,Great support team.,Finance,Manager
R_0273,2024-04-09,9,Great support team.,Engineering,Mid
R_0274,2024-05-01,10,Great support team.,Engineering,Lead
R_0275,2024-11-27,9,Very fast and reliable.,Sales,Mid
R_0276,2024-08-02,7,Satisfactory overall.,Sales,Mid
R_0277,2024-04-03,3,Support is very slow.,HR,Junior
R_0278,2024-03-04,9,Great support team.,Product,Manager
R_0279,2024-11-24,9,Great support team.,Engineering,Senior
R_0280,2024-06-27,10,Easy to use and intuitive.,Finance,Senior
R_0281,2024-11-30,0,Support is very slow.,Engineering,Manager
R_0282,2024-04-18,7,Missing some features.,HR,Director
R_0283,2024-01-04,10,Easy to use and intuitive.,Engineering,Manager
R_0284,2024-05-16,7,Satisfactory overall.,Sales,Senior
R_0285,2024-07-02,9,Easy to use and intuitive.,HR,Junior
R_0286,2024-03-14,8,"It's okay, does the job.",Product,Manager
R_0287,2024-06-26,9,Very fast and reliable.,HR,Mid
